Etc/UTC,Open,High,Low,Close,Volume
2026-07-31T16:39:00+00:00,28231.419,28243.71,28229.331,28236.253,90640
2026-07-31T16:40:00+00:00,28235.354,28244.153,28228.875,28233.632,93500
2026-07-31T16:41:00+00:00,28233.231,28237.054,28202.419,28202.642,94160
2026-07-31T16:42:00+00:00,28202.731,28214.709,28194.809,28210.209,97240
2026-07-31T16:43:00+00:00,28210.165,28216.265,28195.387,28198.397,96800
2026-07-31T16:44:00+00:00,28199.221,28203.789,28187.221,28194.62,95480
2026-07-31T16:45:00+00:00,28194.543,28206.609,28181.62,28199.643,101200
2026-07-31T16:46:00+00:00,28199.154,28217.308,28186.375,28217.142,97240
2026-07-31T16:47:00+00:00,28217.132,28220.032,28207.853,28217.989,93280
2026-07-31T16:48:00+00:00,28217.889,28218.397,28206.764,28215.186,95040
2026-07-31T16:49:00+00:00,28215.254,28222.287,28202.397,28221.187,96800
2026-07-31T16:50:00+00:00,28222.389,28239.708,28217.719,28233.675,94380
2026-07-31T16:51:00+00:00,28233.61,28254.62,28227.599,28244.865,89100
2026-07-31T16:52:00+00:00,28244.876,28248.698,28236.319,28240.186,90640
2026-07-31T16:53:00+00:00,28240.087,28245.389,28235.12,28240.82,89320
2026-07-31T16:54:00+00:00,28241.61,28249.642,28225.743,28227.643,90200
2026-07-31T16:55:00+00:00,28225.842,28244.419,28225.253,28239.31,91080
2026-07-31T16:56:00+00:00,28239.754,28251.999,28235.743,28243.389,89760
2026-07-31T16:57:00+00:00,28243.365,28260.71,28243.342,28258.231,89100
2026-07-31T16:58:00+00:00,28257.909,28262.999,28248.076,28250.765,87340
2026-07-31T16:59:00+00:00,28250.397,28253.889,28239.321,28240.11,89100
2026-07-31T17:00:00+00:00,28239.254,28259.264,28233.209,28257.81,96580
2026-07-31T17:01:00+00:00,28258.72,28280.999,28252.276,28278.408,90640
2026-07-31T17:02:00+00:00,28278.732,28281.499,28271.032,28273.209,81840
2026-07-31T17:03:00+00:00,28273.31,28282.275,28271.11,28279.408,83380
2026-07-31T17:04:00+00:00,28279.21,28281.099,28268.743,28268.854,84040
2026-07-31T17:05:00+00:00,28267.686,28278.131,28262.553,28269.843,83160
2026-07-31T17:06:00+00:00,28269.631,28272.121,28255.531,28257.098,84920
2026-07-31T17:07:00+00:00,28256.819,28258.687,28241.821,28242.586,89320
